Position,Team,Games Played,Win,Draw,Loss,Points
1,Germany,7,6,1,0,19
2,Argentina,7,5,1,1,16
3,Netherlands,7,5,2,0,17
4,Brazil,7,3,2,2,11
5,Colombia,5,4,0,1,12
6,Belgium,5,4,0,1,12
7,France,5,3,1,1,10
8,Costa Rica,5,2,3,0,9
9,Chile,4,2,1,1,7
10,Mexico,4,2,1,1,7
11,Switzerland,4,2,0,2,6
12,Uruguay,4,2,0,2,6
13,Greece,4,1,2,1,5
14,Algeria,4,1,1,2,4
15,United States,4,1,1,2,4
16,Nigeria,4,1,1,2,4
17,Ecuador,3,1,1,1,4
18,Portugal,3,1,1,1,4
19,Croatia,3,1,0,2,3
20,Bosnia and Herzegovina,3,1,0,2,3
21,Ivory Coast,3,1,0,2,3
22,Italy,3,1,0,2,3
23,Spain,3,1,0,2,3
24,Russia,3,0,2,1,2
25,Ghana,3,0,1,2,1
26,England,3,0,1,2,1
27,South Korea,3,0,1,2,1
28,Iran,3,0,1,2,1
29,Japan,3,0,1,2,1
30,Australia,3,0,0,3,0
31,Honduras,3,0,0,3,0
32,Cameroon,3,0,0,3,0
